,Left,Right,Center
18,https://www.washingtonpost.com/news/powerpost/paloma/powerup/2019/07/02/powerup-busing-is-still-happening-and-2020-democrats-are-divided-on-what-to-about-it/5d1ac7fe1ad2e552a21d5203/?utm_term=.dc7fa9ecb80b,https://www.nationalreview.com/corner/desegregating-schools-without-busing/,https://www.forbes.com/sites/nataliewexler/2019/06/30/what-kamala-harris-and-joe-biden-should-be-talking-about-instead-of-busing/#493f9586427e
19,https://www.politico.com/story/2019/07/08/obamacare-lawsuit-2020-campaign-1572907,https://www.washingtonexaminer.com/policy/healthcare/daily-on-healthcare-appeals-court-hears-obamacare-case-that-could-focus-2020-debate,https://www.reuters.com/article/us-usa-court-obamacare/u-s-appeals-court-to-take-up-constitutionality-of-obamacare-idUSKCN1U40ZU
20,"https://www.nytimes.com/2019/07/07/us/politics/census-citizenship-question-justice-department.html?action=click&module=Top%20Stories&pgtype=Homepage
https://www.usatoday.com/story/news/politics/2019/07/07/2020-census-doj-appoints-new-team-lawyers-citizenship-push/1670638001/",https://www.newsmax.com/politics/census-legal-question-trump/2019/07/07/id/923632/,
21,"https://www.usatoday.com/story/opinion/2019/06/27/wealth-tax-eli-broad-philanthropy-failed-column/1574408001/
https://www.nytimes.com/2019/06/25/opinion/taxes-debates-eli-broad.html",,https://www.brookings.edu/wp-content/uploads/2016/06/would-top-income-tax-alter-income-inequality.pdf
22,"http://www.cnn.com/2012/09/18/politics/campaign-ads-swing-states/index.html?hpt=po_t1
http://www.nytimes.com/2012/09/23/magazine/nate-silver-solves-the-swing-state-puzzle.html?ref=politics",http://www.foxnews.com/politics/2012/09/19/obama-has-edge-over-romney-in-three-battleground-states/,
23,https://www.latimes.com/opinion/enterthefray/la-ol-trump-twitter-20190710-story.html,https://www.nationalreview.com/2019/07/the-second-circuit-court-of-appeals-was-wrong-to-rule-that-trump-cant-block-twitter-users/,https://www.npr.org/2019/07/09/739906562/u-s-appeals-court-rules-trump-violated-first-amendment-by-blocking-twitter-follo
24,"https://www.theguardian.com/uk-news/2019/jul/10/kim-darroch-resigns-as-uk-ambassador-to-us-after-leaked-trump-comment
https://www.bloomberg.com/news/articles/2019-07-10/kim-darroch-quits-as-u-k-ambassador-to-u-s-amid-trump-s-fury?srnd=premium",https://www.washingtontimes.com/news/2019/jul/10/kim-darroch-uk-ambassador-us-quits-days-after-leak/,
25,https://www.washingtonpost.com/technology/2019/07/11/we-will-not-let-them-get-away-with-it-trump-threatens-social-media-ahead-white-house-summit/?utm_term=.1d03f8b6b235,https://www.foxnews.com/politics/white-house-hosts-social-media-summit,https://www.wsj.com/articles/trump-attacks-big-tech-at-social-media-summit-11562880762
26,https://www.cnn.com/2019/07/12/us/immigration-ice-raids-fear/index.html,https://www.foxnews.com/us/why-those-ice-raids-are-being-announced-in-advance,https://www.wsj.com/articles/ice-to-launch-round-up-of-undocumented-immigrants-sunday-11562849273
27,https://www.theverge.com/2019/7/12/20692524/facebook-five-billion-ftc-fine-embarrassing-joke,https://www.foxnews.com/opinion/jim-hanson-reported-5b-facebook-settlement-is-well-deserved-punishment-for-abuses-of-user-privacy,https://thehill.com/policy/technology/452855-ftc-settles-with-facebook-for-5-billion-fine-report
28,https://www.cbsnews.com/news/trump-to-announce-executive-action-on-census-citizenship-question-today-2019-07-11-live-updates/,https://www.newsmax.com/politics/census-citizenship-question/2019/07/11/id/924046/,https://thehill.com/homenews/administration/452569-trump-plans-to-take-executive-action-on-census-citizenship-question
29,https://www.nytimes.com/2019/07/08/opinion/epstein-indictment.html,https://www.nationalreview.com/the-morning-jolt/conservatism-is-doing-just-fine-thank-you-very-much/,https://www.usatoday.com/story/opinion/2019/07/08/jeffrey-epstein-charges-geoffrey-berman-bill-clinton-donald-trump-column/1675596001/
30,"https://www.usatoday.com/story/news/politics/2019/07/10/trump-executive-order-kidney-disease/1695073001/
https://www.cnn.com/2019/07/10/health/trump-kidney-executive-order/index.html",https://www.foxnews.com/health/trump-executive-order-kidney-disease-care,
31,https://www.nytimes.com/2019/07/14/us/politics/trump-twitter-squad-congress.html,https://www.washingtontimes.com/news/2019/jul/14/alexandria-ocasio-cortez-fires-back-trump-you-cann/,https://www.bbc.com/news/world-us-canada-48982172
32,"https://abcnews.go.com/Politics/trump-labor-secretary-acosta-resigns-amid-controversy-epstein/story?id=64291111&cid=clicksource_4380645_null_hero_hed
https://www.usatoday.com/story/news/politics/2019/07/12/labor-secretary-alex-acosta-resigned-amid-jeffrey-epstein-fallout/1681245001/",https://www1.cbn.com/cbnnews/politics/2019/july/labor-secretary-acosta-resigns-after-scrutiny-over-epstein-sex-trafficking-deal,
33,https://www.politico.com/story/2019/07/16/trump-attack-progressive-congresswomen-1416579,https://www.foxnews.com/politics/trump-fires-back-at-squad-challenges-house-to-rebuke-them-for-filthy-and-hate-laced-remarks,https://thehill.com/homenews/administration/453253-trump-i-dont-have-a-racist-bone-in-my-body
34,https://www.bloomberg.com/opinion/articles/2019-07-17/obamacare-s-cadillac-tax-needs-democratic-support,https://www.washingtonexaminer.com/opinion/contrary-to-widespread-belief-conservatives-should-support-cadillac-tax-repeal,http://www.rollcall.com/news/house-to-vote-on-health-care-cadillac-tax-repeal
35,"https://www.cnn.com/2019/07/16/politics/trump-racist-comments-resolution-house-democrats/index.html
https://www.bloomberg.com/news/articles/2019-07-17/house-rebuke-of-trump-for-racism-unites-democrats-energizes-gop?srnd=premium",https://www1.cbn.com/cbnnews/politics/2019/july/house-votes-to-condemn-trump-tweets,
36,https://www.buzzfeednews.com/article/emaoconnor/leana-wen-out-planned-parenthood-president,https://www.nationalreview.com/corner/planned-parenthood-president-ousted-after-less-than-a-year-in-charge/,https://www.npr.org/2019/07/16/742390932/planned-parenthood-removes-leana-wen-as-president-after-less-than-a-year
37,"https://www.usatoday.com/story/news/politics/2019/07/16/justice-department-not-bring-charges-death-eric-garner/1741169001/
https://abcnews.go.com/US/justice-department-file-charges-officers-involved-eric-garners/story?id=64363898",https://nypost.com/2019/07/16/ag-barr-made-decision-to-not-bring-charges-against-eric-garner-cop-official/,
38,https://www.cbsnews.com/news/trump-administration-moves-to-end-protections-for-central-american-asylum-seekers/,https://www.newsmax.com/newsfront/trump-asylum-immigration-central-america/2019/07/15/id/924435/,https://www.reuters.com/article/us-usa-immigration-thirdparty/trump-administration-sets-new-bar-for-immigrants-seeking-asylum-idUSKCN1UA1IL
39,https://www.politico.com/states/california/story/2019/07/09/steyers-2020-campaign-to-draw-heavily-from-california-ballot-strategy-1092839,https://reason.com/2019/07/09/billionaire-tom-steyer-enters-presidential-race-vowing-to-get-corporations-out-of-politics/,https://www.forbes.com/sites/chasewithorn/2019/07/09/how-tom-steyer-made-his-16-billion-fortune/#571cfb3138a9
40,https://www.cnn.com/2019/07/09/politics/ross-perot-dead/index.html,https://www.foxnews.com/politics/billionaire-ross-perot-who-ran-twice-for-president-dead-at-89,https://www.cnbc.com/2019/07/09/billionaire-and-former-presidential-candidate-ross-perot-is-dead-at-89.html
41,https://www.latimes.com/politics/la-na-pol-congress-democrats-trump-20190715-story.html,https://www.washingtontimes.com/news/2019/jul/15/nancy-pelosi-introduce-resolution-condemning-trump/,https://thehill.com/homenews/house/453090-pelosi-announces-house-resolution-to-condemn-trump-comments
42,https://www.cnn.com/2019/07/17/politics/donald-trump-race-america-democrats/index.html,https://www.washingtontimes.com/news/2019/jul/17/trump-north-carolina-rally-winning-it-lot-attacks-/,https://thehill.com/homenews/administration/453644-trump-blasts-minority-democrats-rally-crowd-chants-send-her-back
43,"https://www.nbcnews.com/politics/donald-trump/republicans-democrats-condemn-send-her-back-chant-trump-s-rally-n1031156
https://www.usatoday.com/story/news/politics/2019/07/18/donald-trump-says-he-disagrees-send-her-back-chant-rally/1757523001/",https://www.washingtonexaminer.com/news/trump-says-he-is-not-happy-with-send-her-back-chant,
44,https://beta.washingtonpost.com/world/the_americas/unauthorized-immigrants-face-public-backlash-in-mexico-survey-finds/2019/07/16/f7fc5d12-a75e-11e9-a3a6-ab670962db05_story.html?outputType=amp,https://www.theblaze.com/news/mexicans-polled-are-against-immigration?utm_source=Sailthru&utm_medium=email&utm_campaign=Daily-Newsletter__PM-Final%202019-07-19&utm_term=TheBlaze%20Daily%20PM%20-%20last%20270%20days,https://www.npr.org/2019/07/18/742981757/poll-mexicans-favor-deporting-migrants-back-to-their-home-countries
45,https://www.nytimes.com/2019/07/14/opinion/trump-twitter-racism.html,https://www.washingtonexaminer.com/red-alert-politics/the-aps-guidelines-telling-journalists-to-decide-whats-racist-are-already-leading-to-disaster,https://www.npr.org/2019/07/16/742000247/with-latest-nativist-rhetoric-trump-takes-america-back-to-where-it-came-from
46,http://www.washingtonpost.com/blogs/the-fix/wp/2012/09/21/why-mitt-romney-released-his-2011-tax-returns-today/,http://townhall.com/tipsheet/GuyBenson/2012/09/21/democrats_media_get_punkd_romney_releases_tax_returns,http://www.npr.org/2012/09/21/159346466/the-candidates-and-their-taxes
47,"http://www.washingtonpost.com/blogs/the-fix/wp/2012/09/21/why-its-time-for-moderate-mitt/
http://www.cnn.com/2012/09/20/politics/romney-campaign-shifts/index.html?hpt=po_c1",http://www.washingtontimes.com/news/2012/sep/21/romney-tries-seize-mantle-change/,
48,https://www.cnn.com/middleeast/live-news/iran-british-tanker-july-2019/index.html,https://www.washingtonexaminer.com/news/iran-claims-it-has-captured-british-tanker,https://www.cnbc.com/2019/07/19/british-oil-tanker-reportedly-seized-by-iranian-forces.html
49,"https://www.usatoday.com/story/news/politics/elections/2019/07/19/bernie-sanders-campaign-staff-wage-15-dollars-per-hour-union/1781581001/
https://www.cnn.com/2019/07/19/politics/bernie-sanders-campaign-union-clash/index.html",https://www.foxnews.com/politics/bernie-sanders-defends-campaign-staff-salaries-after-accusations-of-poverty-wages-report,
50,https://www.nbcnews.com/politics/national-security/trump-says-u-s-navy-ship-shot-down-iranian-drone-n1031451,https://www.dailymail.co.uk/news/article-7262485/Trump-says-U-S-Navy-shot-provocative-hostile-Iranian-drone.html,https://www.apnews.com/10a56574703d43799a3f3a0cc8ddeb29
51,"https://www.cnn.com/2019/07/22/tech/equifax-hack-ftc/index.html
https://www.usatoday.com/story/money/2019/07/22/ftc-equifax-settlement/1793029001/",https://www.newsmax.com/finance/streettalk/equifax-fine-data-breach/2019/07/22/id/925434/,
52,https://www.theguardian.com/politics/2019/jul/23/boris-johnson-elected-new-tory-leader-prime-minister,https://www1.cbn.com/cbnnews/world/2019/july/who-is-boris-johnson-trump-defending-us-fan-faces-big-battles-as-he-takes-charge-of-britain,https://www.bbc.com/news/uk-politics-49084605
53,"https://www.usatoday.com/story/news/politics/2019/07/23/trump-administration-food-stamp-proposal-may-remove-3-million/1803077001/
https://abcnews.go.com/Lifestyle/wireStory/usda-rule-affect-31m-food-stamp-recipients-64508284",https://www.foxnews.com/politics/trump-administration-to-propose-rule-that-would-cut-3-1-million-people-from-food-stamp-program-report,
54,"https://www.usatoday.com/story/news/politics/2019/07/20/erica-thomas-georgia-lawmaker-claims-man-verbally-assaulted-her/1786405001/
https://www.nytimes.com/2019/07/21/us/erica-thomas-georgia.html",https://townhall.com/tipsheet/bethbaumann/2019/07/21/liar-liar-georgia-house-minority-leader-caught-in-a-hate-hoax-n2550373,
55,https://www.cnn.com/2019/07/25/politics/us-marines-arrested/index.html,https://www.foxnews.com/us/16-marines-arrested-human-smuggling-drugs,https://thehill.com/policy/defense/454759-16-marines-arrested-for-smuggling-undocumented-immigrants-drug-offenses
56,https://www.newsweek.com/mueller-report-volume-one-hearings-spin-1450656,https://www.foxnews.com/opinion/andrew-mccarthy-robert-mueller-democrats-trump-testimony,https://www.washingtonpost.com/opinions/2019/07/24/republican-lawmaker-complains-mueller-about-lack-fox-news-his-report/?utm_term=.d49d225fd3dd
57,https://www.vox.com/2019/7/24/20708367/robert-mueller-congress-hearing-opening-statement-testimony,https://www.foxnews.com/politics/mueller-in-capitol-hill-testimony-says-no-trump-russia-conspiracy-no-trump-exoneration-on-obstruction,https://www.reuters.com/article/us-usa-trump-mueller/in-dramatic-testimony-mueller-says-he-did-not-exonerate-trump-idUSKCN1UJ0DF
58,https://www.huffpost.com/entry/ricardo-rossell%C3%B3-puerto-rico-governor_n_5d2f8289e4b004b6adaa6ff3,https://www.washingtonexaminer.com/news/trump-slams-puerto-rican-governor-amid-calls-for-his-resignation,https://www.apnews.com/9628a151610840dd93c3b0e3e65ecf9b
59,https://www.nbcnews.com/tech/tech-news/trump-targets-french-wine-retaliate-france-s-digital-tax-n1035146,https://www.washingtonexaminer.com/news/new-tariffs-threatened-over-tax-on-big-tech,https://www.bbc.com/news/world-us-canada-49131301
60,https://abcnews.go.com/International/us-signs-controversial-deal-guatemala-immigration/story?id=64598148,https://www.foxnews.com/politics/trump-announces-landmark-agreement-with-guatemala-to-restrict-asylum-claims,https://www.wsj.com/articles/supreme-court-rules-trump-can-use-pentagon-funds-for-border-wall-11564181606
61,https://www.nbcnews.com/news/latino/embattled-puerto-rico-gov-ricardo-rossell-resigns-amid-public-outcry-n1033241,https://www.foxnews.com/politics/puerto-ricos-governor-resigns-over-offensive-messages-corruption-allegations,https://www.wsj.com/articles/governor-of-puerto-rico-to-resign-11564026991
62,https://www.washingtonpost.com/world/2019/07/27/more-than-people-arrested-moscow-after-clashes-over-city-council-election-monitor-says/?utm_term=.a2ab8a1a6c30,https://www.foxnews.com/world/moscow-police-arrests-740-protests,https://www.apnews.com/d8ee1624aeab49d7b0fe6ccfb1e215d3
63,"http://politicalticker.blogs.cnn.com/2012/09/22/obama-stumps-in-surprise-battleground-state/
http://www.politico.com/news/stories/0912/81556.html
http://www.bloomberg.com/news/2012-09-22/obama-takes-re-election-campaign-to-paul-ryan-s-wisconsin-turf.html",,
64,https://time.com/5635787/executions-death-penalty-reaction-opponents/,https://www.nationalreview.com/news/ag-william-barr-reinstates-federal-death-penalty-after-16-year-hiatus/,https://www.apnews.com/1cc6793e15b34da9b786c3d19681d898
65,https://www.vox.com/2019/7/29/8934686/gilroy-california-garlic-festival-shooting-what-we-know,https://www.foxnews.com/us/gilroy-garlic-festival-shooting-3-dead-gunman-killed,https://www.reuters.com/article/us-california-shooting/motive-a-mystery-as-california-police-hunt-for-accomplice-in-festival-shooting-idUSKCN1UO11W
66,https://www.politico.com/story/2019/07/29/dem-senators-ratcliffe-nomination-intel-chief-1439110,https://www.washingtonexaminer.com/news/congress/top-senate-republican-committee-will-swiftly-consider-ratcliffe-nomination,https://www.npr.org/2019/07/29/746238062/key-senators-silent-over-john-ratcliffe-trumps-pick-for-new-top-spy
67,http://www.politico.com/news/stories/0912/81545.html,http://www.foxnews.com/politics/2012/09/22/obama-accused-hill-lawmakers-ducking-elected-duties-amid-criticism-doing/,http://www.npr.org/2012/09/22/161598126/congress-heads-out-after-approving-funding-bill
68,"https://www.washingtonpost.com/business/2019/07/30/trump-backpedals-china-threats-trade-deal-shows-signs-slipping-away/?utm_term=.6ca3e05e1359
https://www.bloomberg.com/news/articles/2019-07-30/trump-cites-problem-with-china-on-trade-sending-futures-lower?srnd=premium",,https://www.marketwatch.com/story/stocks-set-to-slump-as-weak-earnings-weigh-2019-07-30
69,http://www.huffingtonpost.com/2012/09/23/mitt-romney-tax-rate_n_1908112.html?utm_hp_ref=politics,http://www.foxnews.com/politics/2012/09/24/obama-admits-some-ads-go-overboard-laments-tone-in-washington/,http://www.npr.org/blogs/thetwo-way/2012/09/24/161675664/debate-preview-obama-and-romney-shadow-box-on-60-minutes
70,"https://www.bloomberg.com/news/articles/2019-07-31/fed-looks-locked-in-for-quarter-point-cut-decision-day-guide?srnd=premium
https://abcnews.go.com/Business/fed-expected-cut-interest-rates/story?id=64652963&cid=clicksource_4380645_null_headlines_hed",https://www.newsmax.com/newsfront/fed-rates-cut-trump/2019/07/31/id/926574/,
71,https://www.cnn.com/2019/07/30/politics/cnn-democratic-debates-biden-harris-warren-sanders/index.html,https://nypost.com/2019/07/29/cnn-debate-rules-could-handcuff-de-blasio/,https://thehill.com/homenews/morning-report/455256-the-hills-morning-report
72,"https://www.cnn.com/2019/07/31/politics/second-democratic-debate-preview-night-2/index.html
https://www.usatoday.com/story/news/politics/2019/07/31/democratic-debate-2019-your-guide-second-night-detroit/1875482001/",https://www.foxnews.com/opinion/lee-carter-democratic-debate-detroit-elizabeth-warren-bernie-sanders-progressives,
73,https://www.cnn.com/2019/08/01/politics/senate-vote-budget-deal/index.html,https://reason.com/2019/08/01/the-senate-will-vote-on-a-2-7-trillion-budget-deal-that-adds-to-the-national-debt-the-democrats-debates-ignored-it/,https://apnews.com/9a70f20290db4bd593d4051c84c547e5
74,https://www.nytimes.com/2019/07/31/us/politics/debate-joe-biden.html?action=click&module=Top%20Stories&pgtype=Homepage,https://www.nationalreview.com/corner/democratic-debate-joe-biden-survives-wins/,https://www.bbc.com/news/world-us-canada-49184669
75,https://www.washingtonpost.com/politics/politicians-grieve-for-el-paso-victims-with-democrats-decrying-gop-inaction-on-gun-laws/2019/08/03/0e3fd1d2-b635-11e9-8949-5f36ff92706e_story.html?utm_term=.ae1c27ef9f6c,https://www.washingtontimes.com/news/2019/aug/4/mick-mulvaney-on-shootings-in-ohio-texas-to-think-/,https://thehill.com/homenews/sunday-talk-shows/456093-mulvaney-not-fair-to-lay-shootings-at-the-feet-of-the-president
76,https://news.vice.com/en_us/article/vb547m/trumps-top-intel-pick-john-ratcliffe-didnt-even-last-a-week,https://townhall.com/tipsheet/katiepavlich/2019/08/02/ratcliff-n2551118,https://www.reuters.com/article/us-usa-trump-intelligence/trump-drops-his-choice-for-spy-chief-after-scrutiny-over-resume-idUSKCN1US298
77,"https://www.usatoday.com/story/news/politics/2019/08/02/trump-responds-news-burglary-elijah-cummings-baltimore-home/1898235001/
https://www.washingtonpost.com/politics/trump-seems-to-make-light-of-reports-that-baltimore-home-owned-by-cummings-was-burglarized/2019/08/02/65ca96be-b516-11e9-951e-de024209545d_story.html?utm_term=.9f19b3106c7a",https://www.breitbart.com/politics/2019/08/02/donald-trump-really-bad-news-someone-broke-into-baltimore-house-of-elijah-cummings/,
78,https://www.politico.com/states/california/story/2019/07/30/californias-newsom-signs-bill-to-force-trump-tax-returns-1122154,https://www.breitbart.com/2020-election/2019/07/30/california-gov-gavin-newsom-to-sign-bill-requiring-trump-tax-returns/,https://www.wsj.com/articles/california-requires-trump-to-release-tax-returns-for-spot-on-primary-ballot-11564515926?mod=hp_lista_pos1
79,https://www.nytimes.com/2019/08/06/books/toni-morrison-dead.html,https://www.washingtonexaminer.com/news/toni-morrison-first-black-woman-to-win-nobel-prize-for-literature-dead-at-88,https://www.npr.org/2019/08/06/542391535/toni-morrison-whose-soaring-novels-were-rooted-in-black-lives-dies-at-88
80,https://www.cnn.com/2019/08/02/politics/aoc-chief-of-staff-leaving-saikat-chakrabarti/index.html,https://www.washingtonexaminer.com/news/turmoil-aocs-chief-of-staff-and-communications-director-quit,https://thehill.com/homenews/house/455996-ocasio-cortez-chief-of-staff-to-leave-her-office
81,https://www.buzzfeednews.com/article/hamedaleaziz/ice-raid-operation-mississippi-workplace-families,https://www.breitbart.com/politics/2019/08/07/ice-arrests-680-illegal-aliens-in-largest-single-state-raid-in-u-s-history/,https://www.npr.org/2019/08/07/749243985/mississippi-immigration-raids-net-hundreds-of-workers
82,https://www.politico.com/story/2019/08/05/graham-red-flag-bill-gun-violence-1448198,https://townhall.com/tipsheet/katiepavlich/2019/08/05/graham-announces-new-agreement-on-red-flag-laws-n2551192,https://thehill.com/blogs/floor-action/senate/456205-graham-to-offer-bipartisan-red-flag-bill-with-trumps-support
83,https://www.washingtonpost.com/politics/biden-in-iowa-speech-plans-to-say-trump-has-fanned-the-flames-of-white-supremacy/2019/08/07/dce7c17c-b903-11e9-b3b4-2bb69e8c4e39_story.html,https://www.newsmax.com/headline/biden-trump-shooting/2019/08/07/id/927594/,https://www.reuters.com/article/us-usa-election-biden/biden-says-trumps-toxic-tongue-linked-to-u-s-mass-shootings-idUSKCN1UX12B
84,"https://www.usatoday.com/story/news/politics/2019/08/06/dayton-and-el-paso-shootings-trump-plans-meet-victims-wednesday/1923775001/
https://www.cnn.com/2019/08/05/politics/donald-trump-el-paso-texas-dayton-ohio-visit/index.html",https://www.newsmax.com/politics/el-paso-texas-dayton-ohio/2019/08/05/id/927418/,
85,https://abcnews.go.com/Politics/ahead-remarks-trump-proposes-gun-background-checks-tied/story?id=64778938&cid=clicksource_4380645_null_hero_hed,https://www.newsmax.com/politics/trump-background-checks-guns-mass-shootings/2019/08/05/id/927282/,https://www.reuters.com/article/us-usa-shooting/trump-calls-on-u-s-lawmakers-to-pass-gun-background-check-law-idUSKCN1UV15C
86,"https://www.usatoday.com/story/news/politics/2019/08/06/trump-campaign-slams-joaquin-castro-tweet-trump-donors/1938531001/
https://www.vox.com/policy-and-politics/2019/8/7/20758533/joaquin-castro-tweet-trump-donors-texas-san-antonio",https://www.foxnews.com/politics/castro-getting-called-out-from-both-sides-after-outing-trump-donors,
87,https://abcnews.go.com/Politics/wireStory/trump-commutation-blagojevich-64847532,https://townhall.com/tipsheet/cortneyobrien/2019/08/08/reports-trump-considering-commuting-blagojevichs-sentence-n2551391,https://www.wsj.com/articles/trump-says-he-is-weighing-commuting-sentence-of-blagojevich-11565236748
88,"http://www.politico.com/news/stories/0912/81630.html?hp=l1
http://www.cnn.com/2012/09/25/world/new-york-unga/index.html?hpt=hp_t1",http://www.foxnews.com/politics/2012/09/25/obama-urges-un-to-reject-violence-and-intolerance-amid-mideast-unrest/,
89,https://www.buzzfeednews.com/article/juliareinstein/missouri-walmart-gun-panic-body-armor-shooting-scare,https://townhall.com/tipsheet/mattvespa/2019/08/08/close-call-missouri-police-arrested-man-armed-with-rifle-at-local-walmart-n2551435,https://www.chicagotribune.com/nation-world/ct-nw-walmart-missouri-armed-man-arrested-20190809-td45rfeuhfejdlnxxfjv4hbbvu-story.html
90,"https://www.nytimes.com/2019/08/08/us/politics/joseph-maguire-sue-gordon.html
https://www.bloomberg.com/news/articles/2019-08-08/trump-picks-counterterrorism-chief-as-interim-intel-head?srnd=politics-vp",https://www.washingtonexaminer.com/news/trump-picks-retired-navy-leader-and-top-counterterrorism-official-to-be-acting-spy-chief,
91,http://www.nytimes.com/2012/09/26/world/obamas-address-to-united-nations.html?hp=,http://www.washingtontimes.com/news/2012/sep/25/obama-us-will-stop-iran-developing-nukes/,http://www.npr.org/blogs/thetwo-way/2012/09/25/161739302/obama-chris-stevens-and-those-like-him-must-determine-worlds-future
92,https://www.washingtonpost.com/politics/2019/08/09/why-is-iowa-state-fair-such-big-deal/,https://www.washingtontimes.com/news/2019/aug/9/trump-holding-his-own-iowa-kernel-poll/,https://www.apnews.com/eb632750830244efa765882ffd71976f
